age,type,origin,rarity
29,0,5,1.94325
30,3,1,1.94307
30,4,2,1.94292
30,2,0,1.94287
30,0,6,1.94282
31,0,5,1.94265
32,3,1,1.94264
32,2,5,1.94247
32,0,1,1.9424
33,0,0,1.94189
34,2,3,1.94138
34,0,0,1.9413
35,0,1,1.94086
35,3,5,1.94076
35,4,1,1.9406
35,0,2,1.94055
35,0,3,1.93991
36,0,5,1.93986
36,0,6,1.93986
36,1,2,1.93986
36,0,0,1.93977
36,1,1,1.93965
37,0,0,1.93962
37,3,4,1.93958
38,2,1,1.93938
38,1,3,1.93937
39,3,3,1.93931
39,0,5,1.93919
39,3,1,1.93876
40,4,6,1.93859
40,4,0,1.93858
41,3,2,1.93841
41,2,1,1.93841
41,2,5,1.93832
41,4,6,1.93832
41,4,2,1.93823
42,3,3,1.9382
42,1,6,1.93819
42,3,2,1.93785
42,3,0,1.9377
43,3,3,1.93767
43,4,3,1.93763
43,3,0,1.93756
43,3,6,1.93743
43,2,0,1.93728
44,1,4,1.93713
44,0,4,1.93673
44,2,5,1.93668
44,0,3,1.93667
45,0,2,1.93667
45,2,3,1.93665
45,4,2,1.93639
46,0,3,1.93633
46,4,1,1.93631
46,4,3,1.93631
46,0,1,1.93622
46,4,4,1.93622
47,3,3,1.93622
47,1,0,1.93621
47,1,1,1.93621
47,0,0,1.93619
47,1,6,1.93606
47,4,6,1.93591
47,1,3,1.93564
48,4,1,1.93562
48,0,3,1.93559
48,0,4,1.93556
49,4,3,1.93544
49,1,1,1.93538
49,1,0,1.93511
49,3,0,1.93511
50,0,2,1.93511
50,4,1,1.93507
50,3,1,1.93497
50,0,0,1.93497
50,4,2,1.93493
51,1,2,1.93475
51,3,6,1.93475
51,0,3,1.93462
51,2,6,1.93455
51,0,6,1.9345
51,4,1,1.9345
52,2,3,1.93434
52,2,5,1.93419
52,4,4,1.93397
52,1,5,1.93388
53,4,0,1.93388
53,3,1,1.93377
54,0,3,1.93377
54,4,5,1.93377
54,4,0,1.93341
55,0,2,1.93314
55,1,6,1.933
55,2,4,1.93279
55,0,1,1.93273
56,3,3,1.93254
56,4,3,1.93254
56,2,3,1.93251
57,4,5,1.93251
57,4,0,1.93251
58,2,3,1.93248
58,3,6,1.93247
58,1,6,1.93241
58,3,5,1.93241
58,0,2,1.93239
58,2,5,1.93236
59,2,6,1.93236
59,3,4,1.93232
59,4,4,1.93229
60,1,2,1.93217
60,0,3,1.93217
60,3,2,1.93193
60,2,1,1.93184
60,4,0,1.93182
61,3,5,1.93165
61,2,2,1.93157
61,0,5,1.93122
61,2,0,1.93122
61,1,0,1.93119
62,4,4,1.93113
62,2,6,1.9311
62,0,3,1.93093
62,0,5,1.9309
63,4,3,1.9309
63,0,2,1.93053
63,3,6,1.93053
64,0,6,1.93034
64,1,5,1.93033
65,1,5,1.9303
65,3,4,1.93018
65,1,4,1.93016
65,0,4,1.93013
65,0,5,1.93013
65,0,6,1.92996
66,2,5,1.92994
66,2,6,1.92993
66,3,5,1.92989
66,1,5,1.92959
66,0,1,1.92959
66,0,0,1.92957
66,3,2,1.92952
66,1,4,1.92949
67,1,3,1.92948
67,2,5,1.92948
67,0,2,1.92916
67,4,4,1.92872
67,0,3,1.92872
67,3,2,1.9286
68,3,1,1.92843
68,4,0,1.92843
68,2,0,1.92841
68,0,2,1.92821
68,1,4,1.92814
69,0,5,1.92814
69,1,4,1.92809
69,2,0,1.92789
69,3,2,1.92787
69,1,6,1.92761
69,1,0,1.92754
69,2,1,1.92748
70,2,2,1.92746
70,0,5,1.92745
70,2,4,1.92741
70,1,0,1.92741
71,2,3,1.92741
71,1,5,1.92739
71,0,5,1.92724
72,3,1,1.92715
72,1,4,1.92715
72,3,5,1.92664
72,0,2,1.92656
72,4,2,1.92656
73,4,3,1.92649
73,2,3,1.92643
73,4,5,1.9264
73,0,4,1.92629
74,2,3,1.92625
75,4,0,1.92613
75,0,6,1.92596
75,4,3,1.9259
75,2,5,1.92579
75,2,2,1.92579
75,1,4,1.92578
76,0,3,1.92577
76,4,1,1.92566
76,4,6,1.92562
76,0,0,1.92558
77,4,1,1.92526
77,2,1,1.92503
78,3,2,1.92503
78,3,3,1.9248
78,1,1,1.9248
78,2,0,1.92476
79,0,1,1.92464
79,3,5,1.92461
79,4,2,1.92438
80,1,5,1.92427
80,1,6,1.92416
80,0,2,1.92415
80,0,6,1.92406
81,3,6,1.92403
81,4,3,1.924
81,0,5,1.92399
82,2,6,1.92389
83,4,4,1.92388
83,1,1,1.92362
83,3,5,1.92351
83,0,5,1.9235
83,3,3,1.92342
84,0,1,1.92342
84,4,2,1.92332
84,2,3,1.92322
84,1,0,1.92315
84,3,3,1.92314
85,2,4,1.92299
86,1,1,1.92295
86,0,0,1.92281
86,2,0,1.92241
86,4,2,1.92234
86,3,2,1.92222
86,2,2,1.92222
86,4,1,1.92221
87,4,5,1.92217
87,0,6,1.92216
87,4,0,1.92209
88,1,2,1.92197
88,1,5,1.92192
89,0,2,1.92192
89,4,2,1.92188
89,0,0,1.92177
90,2,1,1.9217
90,2,6,1.92163
90,4,0,1.92141
90,1,3,1.92139
91,3,0,1.92137
91,2,4,1.92137
92,2,6,1.92134
92,1,0,1.92115
92,1,1,1.92108
92,1,3,1.92107
92,4,0,1.921
92,4,3,1.92085
93,3,1,1.9207
93,3,6,1.9205
93,4,6,1.9205
94,4,0,1.92018
94,2,4,1.92012
94,1,5,1.92012
95,4,3,1.92011
95,0,4,1.91999
95,0,5,1.91993
95,4,1,1.91993
96,0,5,1.91993
96,0,6,1.91988
96,4,4,1.91983
96,3,5,1.91983
96,3,0,1.91973
96,3,1,1.91958
97,1,6,1.91954
97,0,6,1.91949
97,0,1,1.91935
97,2,3,1.91932
97,2,2,1.91932
97,0,4,1.91922
97,1,0,1.91917
98,2,1,1.91917
98,0,3,1.9191
98,1,3,1.91908
98,1,1,1.9189
99,4,3,1.9189
99,0,3,1.9188
99,1,2,1.91868
99,2,2,1.91862
99,3,5,1.91859
100,1,5,1.91857
100,3,3,1.9185
100,2,4,1.91847
101,2,2,1.91845
101,1,5,1.91844
101,4,1,1.91841
102,3,4,1.91809
102,4,2,1.91806
102,4,4,1.91804
102,1,2,1.91798
102,3,1,1.91793
103,2,5,1.91791
103,4,4,1.91785
103,2,2,1.9178
104,3,6,1.91766
104,0,0,1.91743
104,4,2,1.91732
104,1,3,1.91731
104,0,1,1.91728
105,3,1,1.91728
105,2,1,1.91726
105,2,6,1.91721
105,4,4,1.91721
106,2,0,1.91721
106,1,4,1.91709
107,4,1,1.91709
107,0,2,1.91705
107,1,2,1.91704
107,4,5,1.91699
107,3,3,1.91694
108,4,1,1.91692
108,0,1,1.9169
108,2,0,1.91687
108,1,2,1.91684
108,2,6,1.9168
109,2,3,1.91666
109,1,0,1.91666
109,4,0,1.91666
109,1,3,1.91666
110,0,5,1.91666
110,4,3,1.91662
110,3,2,1.91651
110,0,2,1.91651
110,4,0,1.91632
111,1,1,1.91632
111,3,3,1.91629
112,1,1,1.91629
112,2,4,1.91627
113,3,5,1.91622
113,4,5,1.91622
113,4,4,1.91619
114,4,3,1.91602
114,1,3,1.91596
114,2,3,1.91595
114,1,4,1.91593
115,0,3,1.91589
115,0,2,1.91587
115,3,0,1.9158
115,1,5,1.9157
115,2,4,1.9157
116,4,5,1.91567
116,4,1,1.91565
116,0,3,1.91563
117,0,3,1.91556
117,1,2,1.91556
117,1,1,1.91544
117,4,0,1.91536
117,0,6,1.9152
117,4,3,1.9152
117,4,5,1.9152
118,1,1,1.91506
118,0,0,1.91504
118,4,0,1.91501
118,1,5,1.91494
119,3,1,1.91493
119,2,5,1.91482
119,3,4,1.91471
119,4,0,1.91468
120,0,2,1.91446
120,1,6,1.91433
120,1,2,1.91421
120,0,6,1.91421
121,0,0,1.91417
121,3,0,1.91409
122,4,0,1.91404
123,2,1,1.91399
123,2,2,1.9139
123,4,4,1.91388
123,2,5,1.91387
124,4,6,1.91363
124,2,5,1.91348
125,3,3,1.91347
125,0,0,1.91344
126,3,5,1.91326
126,0,3,1.91317
126,3,2,1.9131
126,0,5,1.91285
127,3,2,1.91279
127,4,2,1.91265
127,0,0,1.91262
127,2,6,1.91257
127,3,4,1.91248
127,3,1,1.91232
127,0,2,1.91222
128,0,0,1.91215
129,3,5,1.91211
129,4,4,1.91201
129,2,0,1.91194
129,0,4,1.9118
129,3,3,1.9118
129,1,3,1.9118
130,2,3,1.91174
130,0,3,1.91173
130,1,2,1.91173
130,2,4,1.91173
130,0,1,1.91171
131,1,0,1.91162
131,0,3,1.91154
131,3,0,1.91148
131,4,5,1.91138
131,1,1,1.91131
131,0,5,1.91131
131,3,1,1.91123
132,0,4,1.91123
132,4,1,1.91123
132,2,4,1.91118
132,3,6,1.91116
133,4,2,1.91115
133,1,6,1.91114
133,3,2,1.91112
133,2,2,1.91097
134,2,4,1.91096
134,4,5,1.91096
134,3,1,1.91085
135,3,5,1.91085
136,0,1,1.91078
136,1,3,1.91058
136,4,5,1.91057
137,0,1,1.91042
137,3,0,1.91042
137,4,5,1.91036
138,0,2,1.91028
138,2,3,1.91026
138,1,4,1.91026
138,3,0,1.91023
139,4,2,1.91023
139,2,1,1.91021
139,3,2,1.91021
140,0,4,1.91021
140,4,5,1.91001
140,1,0,1.90996
140,0,3,1.90991
140,1,3,1.90991
141,1,6,1.90986
141,0,6,1.90985
141,2,5,1.90982
141,3,3,1.90981
141,0,3,1.90981
141,3,0,1.90981
142,3,6,1.9097
142,4,0,1.90969
142,0,1,1.90963
142,2,5,1.90959
142,3,4,1.90953
143,1,0,1.90953
143,3,5,1.90953
143,2,2,1.90926
143,3,0,1.90924
143,3,3,1.90919
144,2,3,1.90915
144,2,5,1.90914
144,0,5,1.90911
144,3,3,1.90875
144,0,2,1.90875
144,4,6,1.90868
145,3,0,1.90865
145,4,3,1.90864
145,2,5,1.9085
145,0,0,1.90844
145,4,1,1.90841
145,2,3,1.90836
146,4,4,1.90835
146,0,1,1.90827
147,2,5,1.90827
147,4,3,1.90827
147,2,6,1.90818
147,0,5,1.90812
147,4,2,1.90798
148,2,0,1.90797
148,2,2,1.90797
148,1,2,1.90797
149,3,1,1.90796
149,3,3,1.90791
149,0,6,1.90779
150,0,2,1.90779
150,2,0,1.90771
150,2,6,1.90769
150,1,0,1.90768
150,4,3,1.90762
151,3,3,1.90762
151,4,2,1.90757
151,0,6,1.90751
151,3,5,1.90743
152,2,0,1.90743
153,0,0,1.90736
153,1,2,1.90729
153,1,5,1.90728
154,3,3,1.90717
154,4,3,1.90711
154,0,1,1.9071
154,2,1,1.90706
154,1,0,1.90703
154,0,2,1.90692
155,4,1,1.90692
155,4,6,1.90692
155,2,3,1.90692
156,1,1,1.90692
156,4,5,1.90685
156,2,0,1.90685
156,4,3,1.90671
156,2,4,1.90668
157,4,3,1.90668
157,4,0,1.90667
157,4,1,1.90666
157,0,0,1.90661
157,2,2,1.90653
157,1,2,1.90652
158,2,2,1.90649
158,0,0,1.90644
158,1,6,1.90642
159,0,5,1.90628
159,0,1,1.90607
159,1,0,1.90604
159,2,3,1.90603
159,3,0,1.90603
159,1,2,1.90599
159,4,2,1.90599
160,3,6,1.90594
160,2,5,1.90588
160,2,3,1.90585
161,3,2,1.90582
161,4,2,1.90577
162,0,6,1.90567
162,1,5,1.90553
162,2,4,1.9055
162,2,1,1.90532
162,2,5,1.90529
162,1,3,1.90529
163,3,4,1.90528
163,0,1,1.90524
163,2,4,1.90518
163,4,3,1.90517
163,4,2,1.90484
164,3,6,1.9048
164,4,3,1.9048
164,1,1,1.9048
164,2,4,1.90479
164,1,5,1.90479
164,4,2,1.90479
164,3,0,1.90476
164,3,2,1.90473
164,2,2,1.90467
164,2,0,1.90467
165,0,5,1.90461
165,1,1,1.90456
166,3,6,1.90451
166,4,1,1.90445
166,2,6,1.90442
166,2,4,1.90435
166,1,4,1.90433
167,1,2,1.90426
167,0,5,1.90426
167,3,1,1.90426
167,3,6,1.90423
167,0,6,1.90417
167,4,1,1.90416
167,4,4,1.90416
167,4,6,1.90416
168,2,5,1.90402
168,4,6,1.90394
168,3,1,1.90391
168,0,2,1.90391
169,0,2,1.9039
169,4,0,1.90385
169,3,6,1.90383
169,2,3,1.90382
169,0,3,1.90365
170,4,2,1.90364
170,0,1,1.90342
170,1,6,1.90326
170,4,4,1.90318
171,3,3,1.90317
171,3,2,1.90316
171,2,3,1.90316
171,0,3,1.9031
172,0,2,1.90309
172,4,4,1.90293
172,2,2,1.90286
172,2,5,1.9028
172,1,2,1.90274
172,4,1,1.90269
173,3,3,1.90266
173,2,5,1.90264
173,3,6,1.90261
173,0,4,1.90261
173,1,5,1.90261
173,0,1,1.90254
174,4,5,1.90254
174,2,0,1.90254
174,1,5,1.90247
174,0,2,1.90246
174,0,3,1.90246
174,0,0,1.90232
174,4,6,1.90232
174,4,3,1.9022
175,1,1,1.9022
175,4,1,1.90219
175,2,6,1.90218
176,0,1,1.90215
176,0,6,1.90211
176,4,0,1.90201
177,1,2,1.90197
177,2,6,1.90192
177,3,1,1.90177
177,4,5,1.90173
177,0,4,1.90173
178,1,5,1.90172
178,0,1,1.9017
178,2,3,1.90169
178,0,0,1.90151
178,3,2,1.90149
179,0,2,1.90147
179,2,5,1.90124
180,4,2,1.90118
180,3,4,1.90113
181,1,0,1.90113
181,2,6,1.90106
181,4,4,1.90095
182,4,3,1.90091
182,4,1,1.90088
183,1,3,1.90083
183,2,0,1.9008
183,1,4,1.90069
183,2,1,1.90064
183,1,1,1.90055
184,0,1,1.90054
184,0,2,1.90048
184,3,6,1.90048
184,3,1,1.90044
185,4,4,1.90023
186,2,6,1.9002
186,3,1,1.90017
186,1,0,1.90017
186,4,5,1.90014
186,3,3,1.90014
187,2,2,1.90008
187,2,1,1.89994
187,3,4,1.89969
188,2,5,1.89968
188,4,3,1.89965
188,4,5,1.89961
188,3,6,1.89958
189,2,5,1.89949
189,1,3,1.89944
189,1,4,1.89944
189,0,1,1.89944
189,4,5,1.89942
189,0,2,1.89936
190,2,5,1.89936
190,3,0,1.89936
190,0,2,1.89935
190,3,5,1.89932
191,3,2,1.89932
191,3,6,1.8992
191,1,1,1.89911
192,3,4,1.89901
192,1,4,1.89893
192,0,0,1.89893
193,1,3,1.89889
193,0,2,1.8988
193,3,1,1.8988
193,4,5,1.89877
194,3,6,1.89875
194,2,4,1.89875
194,2,2,1.89872
194,0,6,1.89866
194,2,3,1.89856
195,2,4,1.89856
195,1,4,1.89856
195,4,0,1.89854
195,4,6,1.89847
195,1,2,1.89845
195,1,1,1.89838
195,2,1,1.89826
195,0,6,1.89819
195,0,1,1.89816
195,3,5,1.89816
196,3,2,1.89811
196,0,2,1.89807
197,3,4,1.89805
197,0,4,1.89802
197,3,0,1.89793
197,1,5,1.89793
197,1,6,1.89788
198,4,0,1.89788
198,4,5,1.89783
198,1,3,1.89772
199,4,6,1.89769
199,3,5,1.89755
199,3,6,1.8975
199,0,3,1.89749
201,4,6,1.89745
201,4,0,1.89744
202,3,4,1.89742
202,4,5,1.89736
202,4,0,1.89734
202,1,3,1.89729
202,1,2,1.89727
203,2,3,1.89725
203,4,3,1.89723
203,4,6,1.89721
203,0,6,1.89712
204,1,4,1.89707
204,3,3,1.89703
204,1,5,1.89694
204,4,0,1.89672
204,0,5,1.89672
205,1,0,1.89662
206,4,6,1.8965
206,0,1,1.89647
206,3,1,1.89643
206,4,3,1.89642
206,2,0,1.89642
206,1,4,1.89641
207,3,2,1.8964
207,1,4,1.8964
207,3,5,1.89636
207,1,1,1.89632
207,2,3,1.89628
208,2,2,1.89625
208,3,1,1.89625
208,3,0,1.89625
208,3,5,1.89625
208,1,0,1.89623
209,4,0,1.89611
209,0,3,1.89603
209,1,1,1.89603
209,2,6,1.89603
210,0,4,1.89587
210,1,3,1.89574
210,3,2,1.89573
210,3,5,1.89546
210,2,5,1.8954
211,2,5,1.89534
211,0,2,1.8953
212,4,3,1.8953
212,3,4,1.8952
212,2,6,1.8952
212,0,0,1.8951
213,3,0,1.89505
213,4,4,1.89498
213,1,3,1.89488
213,3,2,1.89484
214,3,2,1.89481
214,4,0,1.89481
214,1,5,1.89473
215,4,6,1.89472
215,2,4,1.89461
215,1,3,1.89424
216,1,0,1.89416
216,4,1,1.89414
217,2,6,1.89412
217,0,0,1.89404
217,4,0,1.89398
218,0,5,1.89394
218,3,4,1.8939
218,4,1,1.89387
218,2,2,1.89384
218,3,3,1.89384
219,3,6,1.89383
220,2,6,1.89375
221,2,3,1.8937
221,0,6,1.8937
221,1,1,1.89365
221,2,5,1.89365
221,2,2,1.89364
222,4,1,1.89364
222,3,3,1.89359
222,3,2,1.8935
222,0,5,1.89347
222,1,6,1.89347
223,3,5,1.89347
224,2,3,1.89346
225,3,4,1.89336
225,4,5,1.89318
225,0,2,1.89314
225,2,0,1.89304
226,1,6,1.89299
226,2,6,1.89291
226,1,3,1.89274
226,3,2,1.89271
226,3,0,1.89269
226,1,2,1.89268
226,3,3,1.89258
227,2,0,1.89256
227,2,5,1.89254
228,1,6,1.89238
228,3,1,1.89213
228,4,2,1.89209
228,1,2,1.892
229,4,1,1.89192
229,0,2,1.89192
229,1,5,1.89179
229,3,2,1.89179
230,4,2,1.89177
230,1,2,1.89169
231,4,0,1.89169
231,3,2,1.89169
231,0,0,1.89157
231,4,1,1.89154
231,3,6,1.89153
232,3,6,1.89149
232,4,3,1.89143
232,4,5,1.89141
232,1,1,1.89139
232,2,4,1.89136
232,3,5,1.89136
232,2,0,1.89134
233,0,0,1.89134
233,1,2,1.89129
233,3,1,1.89128
233,2,6,1.89124
233,3,5,1.89124
233,2,1,1.89123
233,2,5,1.89119
234,3,6,1.89112
234,1,0,1.89112
234,4,4,1.891
235,1,5,1.89097
235,4,1,1.89097
235,1,2,1.89093
235,3,5,1.89085
235,3,2,1.89082
235,4,5,1.89082
236,2,0,1.89082
236,4,0,1.89062
236,4,1,1.89056
236,2,5,1.89048
236,4,4,1.89038
237,2,0,1.89038
237,1,5,1.89029
237,0,6,1.8902
238,0,3,1.89019
238,3,5,1.89019
238,3,0,1.89007
238,3,2,1.89001
239,0,4,1.88986
239,0,0,1.88975
239,4,1,1.88972
239,4,2,1.8897
240,2,0,1.88962
240,2,5,1.88961
241,4,4,1.88959
241,1,3,1.88948
242,3,2,1.88942
242,4,4,1.88938
243,0,3,1.88928
243,1,6,1.88928
243,3,6,1.88928
244,1,4,1.88926
244,1,0,1.88913
244,4,4,1.88912
244,1,3,1.88912
244,1,2,1.88895
244,3,6,1.88895
245,3,3,1.88892
245,3,6,1.88883
246,4,3,1.88878
246,0,3,1.88876
246,0,0,1.88873
246,3,4,1.8887
246,1,0,1.88856
247,2,0,1.88841
247,2,6,1.8884
247,3,2,1.88812
247,1,3,1.88809
248,3,0,1.88793
249,1,0,1.88793
249,4,0,1.88793
249,2,3,1.88792
249,1,2,1.88792
249,2,4,1.88792
249,1,4,1.88787
249,2,6,1.88787
249,4,4,1.88774
250,4,5,1.8876
250,4,3,1.88753
250,0,3,1.88753
250,4,4,1.88753
250,2,5,1.88738
251,0,4,1.88738
251,2,4,1.88736
251,3,0,1.88729
251,2,6,1.88729
251,3,5,1.88729
252,1,6,1.88727
253,4,3,1.88727
253,1,5,1.88727
253,4,5,1.88713
253,2,1,1.88713
253,4,0,1.88698
253,0,1,1.88684
254,0,5,1.88672
254,3,0,1.88671
254,1,6,1.8867
254,4,5,1.88665
254,2,2,1.8866
254,0,1,1.88658
255,4,5,1.88652
255,0,5,1.88652
255,2,4,1.88651
256,4,2,1.88651
256,1,6,1.88646
257,1,4,1.88646
257,3,0,1.88643
257,3,4,1.8864
258,2,4,1.8864
258,1,0,1.88637
258,2,6,1.88629
258,3,1,1.88626
259,2,6,1.88626
259,0,3,1.88624
259,2,4,1.88623
259,4,4,1.8862
259,3,5,1.88616
259,4,6,1.88616
259,2,3,1.88616
260,1,0,1.88613
260,3,5,1.88613
260,1,2,1.8861
261,1,0,1.8861
262,0,0,1.88606
262,4,4,1.88597
262,3,6,1.88596
262,1,1,1.88582
262,0,1,1.88572
263,4,6,1.88565
263,0,5,1.88565
263,1,4,1.88563
263,1,6,1.88562
263,4,4,1.88562
263,2,1,1.88548
263,4,3,1.88547
263,2,3,1.88529
264,4,4,1.88527
264,0,0,1.88525
264,1,4,1.88523
264,4,5,1.88523
264,3,1,1.88523
265,0,0,1.8852
265,1,6,1.8852
265,3,6,1.88504
266,4,3,1.88486
266,0,6,1.88486
266,0,3,1.88481
267,1,1,1.88481
267,3,2,1.88471
267,4,0,1.88469
268,1,0,1.88463
269,3,1,1.88462
269,1,1,1.88446
270,0,6,1.88438
270,0,0,1.88418
270,4,1,1.88414
271,2,5,1.88403
271,2,0,1.88391
272,3,3,1.88391
272,3,1,1.8837
272,2,6,1.8837
273,1,2,1.88367
273,0,6,1.88353
273,4,6,1.88352
273,4,0,1.8835
273,2,5,1.88346
273,2,3,1.88341
273,4,5,1.88338
273,2,2,1.88336
274,0,0,1.88326
274,4,0,1.88326
274,0,3,1.88325
275,0,5,1.88323
276,2,5,1.88322
276,0,3,1.8832
276,3,4,1.88316
277,0,4,1.88316
277,3,6,1.88316
277,4,1,1.88307
277,4,3,1.88307
278,3,2,1.88287
278,4,5,1.88287
278,4,6,1.8828
279,1,1,1.88279
280,1,4,1.88278
280,4,5,1.88259
280,0,4,1.88258
280,3,1,1.88258
281,0,5,1.88249
281,4,2,1.88247
281,0,0,1.8824
281,3,0,1.8824
281,3,2,1.88229
281,4,4,1.88222
282,1,6,1.8822
282,1,1,1.88219
283,4,1,1.88218
283,2,0,1.88215
284,2,2,1.88214
285,2,6,1.88214
286,4,5,1.88201
286,0,5,1.88181
286,3,2,1.88175
286,3,1,1.88174
286,0,2,1.88173
287,1,3,1.88173
287,3,5,1.88164
287,4,4,1.88164
287,2,6,1.88162
287,1,4,1.88161
287,1,1,1.88158
288,4,5,1.88158
288,2,1,1.88153
288,2,0,1.88152
289,0,6,1.88146
289,1,1,1.88144
289,0,5,1.88136
289,0,0,1.88134
289,4,2,1.88126
290,1,1,1.88126
290,1,4,1.88122
290,3,6,1.88121
290,1,0,1.88121
290,1,5,1.88116
290,2,2,1.88115
291,4,5,1.88114
291,0,0,1.88113
291,0,5,1.88106
292,2,2,1.88097
292,2,6,1.88089
294,4,0,1.88085
294,2,3,1.88085
295,1,2,1.88081
295,4,2,1.88081
295,0,6,1.88081
295,0,0,1.88077
295,2,5,1.88077
295,0,4,1.88074
296,4,4,1.88074
296,0,0,1.88074
296,3,2,1.88072
297,4,4,1.88064
297,0,0,1.88045
297,3,5,1.88032
297,2,0,1.88027
298,3,1,1.88026
298,0,0,1.88026
298,2,1,1.88021
298,4,5,1.88019
298,1,1,1.88019
300,2,4,1.88014
300,2,3,1.88013
300,0,0,1.88012
301,1,2,1.88012
301,2,5,1.87997
301,4,4,1.87987
301,3,0,1.87966
301,3,6,1.87961
302,1,4,1.87953
302,0,3,1.87943
303,4,0,1.87936
303,1,0,1.8793
303,4,1,1.8793
303,1,1,1.87912
303,2,6,1.8791
304,2,6,1.87909
304,0,5,1.87899
304,4,3,1.87892
304,2,1,1.8789
305,0,4,1.8787
305,3,4,1.87864
306,4,3,1.87864
306,1,5,1.87859
306,0,0,1.87837
306,4,1,1.87835
306,2,5,1.87835
306,3,0,1.87829
307,1,4,1.87821
307,0,3,1.87817
307,1,5,1.87815
307,1,2,1.87815
307,4,4,1.87815
307,0,5,1.87795
308,4,1,1.87793
308,1,2,1.87793
309,4,2,1.87791
309,1,0,1.87784
309,3,6,1.87778
309,0,1,1.87769
309,1,5,1.87765
310,4,3,1.87752
310,3,2,1.87748
310,4,5,1.87738
310,0,1,1.87697
310,1,0,1.87688
310,1,1,1.87686
311,3,3,1.87686
311,0,5,1.87667
311,0,4,1.87667
311,1,3,1.87661
311,4,3,1.87655
312,3,2,1.87654
312,4,6,1.87654
312,4,5,1.87651
312,2,3,1.87647
312,3,1,1.87643
312,2,1,1.87643
312,4,0,1.87636
313,0,0,1.87635
313,4,4,1.87626
314,2,4,1.87619
314,1,5,1.87613
315,4,5,1.87605
315,0,0,1.876
315,3,5,1.87597
315,1,1,1.87596
315,4,1,1.87594
315,4,6,1.87589
315,1,2,1.87585
316,3,4,1.87585
316,2,1,1.87581
316,4,1,1.87579
316,0,4,1.87571
316,0,3,1.87569
316,4,0,1.87566
317,4,5,1.87566
317,4,1,1.87566
317,3,2,1.87565
317,1,6,1.87564
317,3,4,1.87564
317,0,0,1.8756
317,4,3,1.87555
318,4,6,1.87544
318,2,5,1.87538
318,3,2,1.87538
319,4,5,1.87533
319,4,0,1.87533
319,3,0,1.87524
319,3,3,1.87521
320,3,5,1.87519
320,3,0,1.87519
320,1,5,1.87506
320,1,3,1.87489
321,0,3,1.87488
322,3,6,1.87487
322,0,3,1.87486
322,1,1,1.87464
322,0,6,1.8746
323,0,1,1.8746
323,3,4,1.8746
323,2,0,1.87445
323,3,6,1.87444
323,3,3,1.87443
324,2,6,1.87437
324,3,5,1.87424
324,4,2,1.87417
324,0,2,1.87409
325,2,6,1.87407
325,3,1,1.87404
326,2,5,1.87398
326,4,4,1.87395
326,1,2,1.8739
326,4,2,1.87389
327,0,6,1.87389
327,1,6,1.87375
327,2,4,1.87373
328,3,3,1.87373
328,2,2,1.87359
329,3,6,1.87359
329,4,2,1.87357
329,4,4,1.87355
329,0,1,1.87355
329,4,3,1.87354
329,1,6,1.87351
330,0,1,1.87351
330,0,3,1.87351
330,0,4,1.87339
330,1,1,1.87338
